local_epochs,%gpu,gpu,running_time
1,15.005,1.200,0.27
5,17.153,1.372,0.83
10,19.863,1.589,1.47
15,22.573,1.806,2.22
1,15.078,1.206,0.46
5,15.078,1.206,0.93
10,15.078,1.206,1.49
15,15.078,1.206,2.10
1,15.078,1.206,0.55
5,15.078,1.206,1.01
10,15.078,1.206,1.59
15,15.078,1.206,2.15
1,15.078,1.206,0.67
5,15.078,1.206,1.15
10,15.078,1.206,1.32
15,15.078,1.206,2.30
